score_threshold,patient_count,tp,fp,tn,fn,precision,recall,specificity,f1,balanced_accuracy,youden_j
0.014100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.014200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.014300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.014400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.014500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.014600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.014700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.014800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.014900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.015000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.015100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.015200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.015300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.015400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.015500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.015600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.015700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.015800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.015900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.016000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.016100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.016200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.016300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.016400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.016500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.016600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.016700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.016800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.016900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.017000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.017100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.017200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.017300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.017400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.017500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.017600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.017700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.017800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.017900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.018000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.018100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.018200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.018300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.018400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.018500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.018600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.018700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.018800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.018900,605,377,222,5,1,0.629382,0.997354,0.022026,0.771750,0.509690,0.019381
0.019000,605,377,222,5,1,0.629382,0.997354,0.022026,0.771750,0.509690,0.019381
0.019100,605,377,222,5,1,0.629382,0.997354,0.022026,0.771750,0.509690,0.019381
0.019200,605,377,222,5,1,0.629382,0.997354,0.022026,0.771750,0.509690,0.019381
0.019300,605,377,222,5,1,0.629382,0.997354,0.022026,0.771750,0.509690,0.019381
0.019400,605,377,222,5,1,0.629382,0.997354,0.022026,0.771750,0.509690,0.019381
0.019500,605,377,222,5,1,0.629382,0.997354,0.022026,0.771750,0.509690,0.019381
0.019600,605,377,222,5,1,0.629382,0.997354,0.022026,0.771750,0.509690,0.019381
0.019700,605,377,222,5,1,0.629382,0.997354,0.022026,0.771750,0.509690,0.019381
0.019800,605,377,222,5,1,0.629382,0.997354,0.022026,0.771750,0.509690,0.019381
0.019900,605,377,222,5,1,0.629382,0.997354,0.022026,0.771750,0.509690,0.019381
0.020000,605,377,221,6,1,0.630435,0.997354,0.026432,0.772541,0.511893,0.023786
0.020100,605,377,221,6,1,0.630435,0.997354,0.026432,0.772541,0.511893,0.023786
0.020200,605,377,221,6,1,0.630435,0.997354,0.026432,0.772541,0.511893,0.023786
0.020300,605,377,221,6,1,0.630435,0.997354,0.026432,0.772541,0.511893,0.023786
0.020400,605,377,221,6,1,0.630435,0.997354,0.026432,0.772541,0.511893,0.023786
0.020500,605,377,221,6,1,0.630435,0.997354,0.026432,0.772541,0.511893,0.023786
0.020600,605,377,221,6,1,0.630435,0.997354,0.026432,0.772541,0.511893,0.023786
0.020700,605,377,221,6,1,0.630435,0.997354,0.026432,0.772541,0.511893,0.023786
0.020800,605,377,221,6,1,0.630435,0.997354,0.026432,0.772541,0.511893,0.023786
0.020900,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.021000,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.021100,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.021200,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.021300,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.021400,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.021500,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.021600,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.021700,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.021800,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.021900,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.022000,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.022100,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.022200,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.022300,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.022400,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.022500,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.022600,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.022700,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.022800,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.022900,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.023000,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.023100,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.023200,605,377,220,7,1,0.631491,0.997354,0.030837,0.773333,0.514096,0.028192
0.023300,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.023400,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.023500,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.023600,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.023700,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.023800,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.023900,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.024000,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.024100,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.024200,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.024300,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.024400,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.024500,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.024600,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.024700,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.024800,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.024900,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.025000,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.025100,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.025200,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.025300,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.025400,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.025500,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.025600,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.025700,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.025800,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.025900,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.026000,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.026100,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.026200,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.026300,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.026400,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.026500,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.026600,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.026700,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.026800,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.026900,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.027000,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.027100,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.027200,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.027300,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.027400,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.027500,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.027600,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.027700,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.027800,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.027900,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.028000,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.028100,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.028200,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.028300,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.028400,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.028500,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.028600,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.028700,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.028800,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.028900,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
