tail_rank,role_scope,role_scope_description,aggregation,feature_type,feature_name,candidate_grade,combined_direction,old_direction,new_direction,direction_consistent,old_directional_auc,new_directional_auc,combined_directional_auc,combined_patient_n,combined_patient_n_with_feature,combined_positive_n,combined_negative_n,old_negative_n,new_negative_n,nonpatient_P99,nonpatient_P995,nonpatient_P999,nonpatient_max,old_nonpatient_P99,new_nonpatient_P99,old_patient_above_old_P99_rate,new_patient_above_new_P99_rate,cross_data_p99_relative_diff,cross_data_tail_consistent,patient_P90,patient_P99,patient_above_P99_rate,patient_above_P995_rate,patient_above_P999_rate,tail_separation_ratio,combined_fp_at_P99,combined_fp_at_P995,combined_fp_at_P999,combined_fp_rate_at_P99,combined_fp_rate_at_P995,combined_fp_rate_at_P999,strict_filter_pass,filter_failure_reasons
31,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,median,asymmetry,raw_all_mesh_region_centroid_y_asym,,patient_higher,patient_higher,nonpatient_higher,false,0.557602,0.577885,0.537544,605,605,378,227,168,59,0.075240,0.075574,0.076675,0.076996,0.074724,0.074189,0.059524,0.000000,0.007157,true,0.063071,0.090526,0.052910,0.052910,0.047619,0.838257,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.052910 < 0.150000; tail_separation_ratio 0.838257 < 1.500000
32,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,raw_face_oval_region_centroid_y_asym,,patient_higher,patient_higher,patient_higher,true,0.566256,0.527038,0.587185,605,605,378,227,168,59,0.144919,0.162370,0.167216,0.167940,0.141787,0.140296,0.053571,0.000000,0.010513,true,0.121377,0.168617,0.034392,0.015873,0.010582,0.837553,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.034392 < 0.150000; tail_separation_ratio 0.837553 < 1.500000
33,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,mean,asymmetry,raw_brow_outer_height_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.540480,0.544335,0.554174,604,604,378,226,168,58,0.133727,0.144746,0.159013,0.162736,0.132653,0.130969,0.059524,0.047619,0.012695,true,0.111700,0.177702,0.055556,0.034392,0.026455,0.835282,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.055556 < 0.150000; tail_separation_ratio 0.835282 < 1.500000
34,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,median,asymmetry,raw_brow_outer_height_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.538566,0.541051,0.552243,604,604,378,226,168,58,0.133727,0.144746,0.159013,0.162736,0.132653,0.130969,0.059524,0.047619,0.012695,true,0.111700,0.177702,0.055556,0.034392,0.026455,0.835282,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.055556 < 0.150000; tail_separation_ratio 0.835282 < 1.500000
35,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,max,asymmetry,raw_iris_region_centroid_y_asym,,patient_higher,patient_higher,patient_higher,true,0.520672,0.591203,0.544797,603,603,378,225,166,59,0.077497,0.085351,0.100350,0.104371,0.077484,0.062022,0.047619,0.047619,0.199553,true,0.064457,0.099259,0.044974,0.034392,0.005291,0.831731,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.044974 < 0.150000; tail_separation_ratio 0.831731 < 1.500000
36,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,raw_eye_region_centroid_y_asym,,patient_higher,patient_higher,patient_higher,false,0.554165,0.528652,0.576679,605,605,378,227,168,59,0.097200,0.110742,0.121676,0.124280,0.097133,0.088746,0.056548,0.000000,0.086350,true,0.080637,0.118419,0.050265,0.013228,0.010582,0.829597,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.050265 < 0.150000; tail_separation_ratio 0.829597 < 1.500000
37,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,raw_iris_region_centroid_y_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.530054,0.548851,0.554005,604,604,378,226,168,58,0.094320,0.097334,0.107269,0.110113,0.096721,0.074397,0.053571,0.047619,0.230808,true,0.078166,0.113132,0.050265,0.047619,0.021164,0.828728,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.050265 < 0.150000; tail_separation_ratio 0.828728 < 1.500000
38,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,expression_blendshape,bs_browOuterUpLeft,,patient_higher,patient_higher,nonpatient_higher,false,0.548257,0.562954,0.584400,605,605,378,227,168,59,0.925285,0.949019,0.962219,0.965155,0.935964,0.862848,0.008929,0.000000,0.078118,true,0.766222,0.931494,0.013228,0.005291,0.002646,0.828094,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.013228 < 0.150000; tail_separation_ratio 0.828094 < 1.500000
39,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,max,asymmetry,raw_mouth_corner_vertical_asym,,patient_higher,patient_higher,patient_higher,false,0.512658,0.535513,0.525779,603,603,378,225,166,59,0.061870,0.072334,0.093225,0.098853,0.061451,0.060606,0.053571,0.000000,0.013746,true,0.051157,0.075317,0.047619,0.018519,0.002646,0.826846,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.047619 < 0.150000; tail_separation_ratio 0.826846 < 1.500000
40,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,raw_iris_region_centroid_y_asym,,patient_higher,patient_higher,patient_higher,false,0.557947,0.532284,0.580041,605,605,378,227,168,59,0.097182,0.108470,0.123418,0.127303,0.096721,0.085993,0.059524,0.000000,0.110916,true,0.080204,0.121773,0.050265,0.021164,0.010582,0.825300,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.050265 < 0.150000; tail_separation_ratio 0.825300 < 1.500000
